DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001085,9,99,JAN,2020,326,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001085,9,99,JAN,2021,321,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001086,9,99,JAN,2019,18366,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001086,9,99,JAN,2020,18244,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001086,9,99,JAN,2021,18261,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001087,9,99,JAN,2019,207,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001087,9,99,JAN,2020,198,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001087,9,99,JAN,2021,202,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001088,9,99,JAN,2019,1500,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001088,9,99,JAN,2020,1488,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001088,9,99,JAN,2021,1449,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001089,9,99,JAN,2019,3184,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001089,9,99,JAN,2020,3127,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001089,9,99,JAN,2021,3171,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001090,9,99,JAN,2019,49752,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001090,9,99,JAN,2020,49539,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001090,9,99,JAN,2021,48747,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001091,9,99,JAN,2019,313,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001091,9,99,JAN,2020,299,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001091,9,99,JAN,2021,312,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001092,9,99,JAN,2019,577,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001092,9,99,JAN,2020,585,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001092,9,99,JAN,2021,591,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001093,9,99,JAN,2019,4577,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001093,9,99,JAN,2020,4489,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001093,9,99,JAN,2021,4427,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001094,9,99,JAN,2019,3193,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001094,9,99,JAN,2020,3169,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001094,9,99,JAN,2021,3082,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001095,9,99,JAN,2019,491,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001095,9,99,JAN,2020,464,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001095,9,99,JAN,2021,443,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001096,9,99,JAN,2019,983,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001096,9,99,JAN,2020,954,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001096,9,99,JAN,2021,937,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001097,9,99,JAN,2019,7922,,,,,,,,,
